p1	p2	turn	cost	sampled	components	large_size	small_size	core	pair	charge	separator
2035831275616	2130365645504	1	2	true	2	15	1	[0, 4, 8, 14, 16, 21, 258, 260, 266, 274, 278, 518, 526, 528, 533]	[1]	-1	2
824634770208	446702813440	1	1	true	2	7	3	[1, 4, 10, 258, 262, 513, 516]	[1, 4, 10]	0	4
1992882652000	1683655492032	1	7	true	2	13	1	[0, 4, 9, 22, 260, 266, 274, 276, 517, 520, 526, 528, 533]	[1]	-1	1
893403531104	1649292609472	0	2	true	2	12	1	[0, 4, 8, 13, 16, 22, 258, 260, 265, 513, 516, 522]	[2]	1	4
2302204182528	481064649088	1	1	true	2	10	3	[1, 4, 10, 14, 256, 262, 270, 274, 522, 526]	[1, 5, 257]	-2	2
3092493894656	481046823040	0	1	true	2	11	1	[0, 5, 8, 14, 22, 257, 265, 270, 274, 278, 530]	[1]	-1	2
2199091413344	412328395712	1	1	true	2	10	2	[1, 4, 10, 12, 18, 256, 262, 270, 522, 526]	[1, 5]	-1	2
103164151648	755976111040	1	3	true	2	15	1	[1, 4, 8, 14, 16, 21, 258, 260, 266, 274, 276, 518, 526, 528, 533]	[1]	-1	2
17827680	171827004352	1	2	true	2	11	1	[1, 4, 8, 14, 16, 21, 260, 266, 274, 276, 534]	[2]	1	1
283486193504	962134541248	0	5	true	2	15	1	[2, 4, 8, 13, 16, 22, 257, 260, 265, 273, 276, 282, 517, 520, 525]	[2]	1	2
824651024128	481064649600	0	4	true	2	12	1	[2, 4, 8, 13, 260, 265, 273, 277, 518, 520, 525, 529]	[2]	1	3
618526672672	1202642223872	0	1	true	2	7	4	[0, 4, 10, 260, 264, 518, 521]	[0, 5, 260, 518]	1/4	4
893371025248	584127087552	0	2	true	2	13	1	[1, 4, 10, 261, 264, 521, 770, 773, 776, 1024, 1030, 1032, 1290]	[2]	1	1
4192006834016	2164725646272	0	413	false	2	19	1	[1, 4, 9, 12, 16, 20, 26, 256, 261, 269, 272, 276, 282, 514, 516, 521, 524, 528, 534]	[0]	*	2
4192006832992	2164759200192	0	144	false	2	18	1	[1, 4, 9, 12, 16, 20, 26, 256, 261, 269, 272, 278, 280, 514, 516, 521, 524, 530]	[0]	*	2
3092494943232	515424387712	0	1	true	2	14	1	[1, 4, 9, 12, 18, 26, 256, 261, 269, 272, 278, 282, 529, 534]	[1]	-1	1
3298653374304	1821128000448	1	7	true	2	16	1	[1, 4, 10, 12, 16, 21, 256, 262, 270, 272, 276, 281, 514, 530, 532, 537]	[2]	1	1
4192006834016	2164792758208	1	658	false	2	20	1	[1, 4, 8, 12, 18, 20, 26, 256, 260, 264, 270, 278, 280, 514, 516, 520, 524, 530, 532, 537]	[0]	*	2
274961794912	824692442048	0	1	true	2	11	1	[2, 4, 8, 13, 16, 22, 257, 260, 265, 517, 520]	[2]	1	4
395221927776	1082393625536	1	111	false	2	17	1	[0, 4, 8, 14, 16, 22, 260, 266, 274, 276, 282, 517, 520, 526, 528, 532, 537]	[1]	-1	2
